Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
LoginExecute,Chrome 70.0.3538.77,,2018-10-30 08:46:44,2018-10-30 08:46:55,10.311s,FAILED
,,,,,,
Test Cases/Login,Chrome 70.0.3538.77,cucumber,2018-10-30 08:46:45,2018-10-30 08:46:51,6.706s,PASSED
runFeatureFile,Chrome 70.0.3538.77,,2018-10-30 08:46:45,2018-10-30 08:46:51,6.208s,PASSED
,,,,,,
Test Cases/Loginfallido,Chrome 70.0.3538.77,,2018-10-30 08:46:51,2018-10-30 08:46:54,3.027s,FAILED
runFeatureFile,Chrome 70.0.3538.77,,2018-10-30 08:46:52,2018-10-30 08:46:54,2.846s,FAILED
