Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
LoginExecute,Chrome 70.0.3538.77,,2018-10-30 16:18:07,2018-10-30 16:18:17,9.632s,FAILED
,,,,,,
Test Cases/Login,Chrome 70.0.3538.77,cucumber,2018-10-30 16:18:07,2018-10-30 16:18:12,4.846s,FAILED
runFeatureFile,Chrome 70.0.3538.77,,2018-10-30 16:18:08,2018-10-30 16:18:12,4.535s,PASSED
concatenate,Chrome 70.0.3538.77,,2018-10-30 16:18:12,2018-10-30 16:18:12,0.021s,FAILED
,,,,,,
Test Cases/Loginfallido,Chrome 70.0.3538.77,,2018-10-30 16:18:12,2018-10-30 16:18:17,4.399s,FAILED
runFeatureFile,Chrome 70.0.3538.77,,2018-10-30 16:18:12,2018-10-30 16:18:17,4.296s,FAILED
